map
	ez_nostalgia
end

values
	1.07564600,229.90760000,25.88080000,36.04375000,53.52005000,98.80033000,1,0,0,0,
	1.08414200,229.90760000,25.88080000,36.04375000,53.68004000,98.80033000,1,0,0,0,
	1.09158600,230.06090000,25.86160000,36.02688000,53.84005000,98.64031000,1,0,0,0,
	1.09979400,230.06090000,25.86160000,36.02688000,54.00005000,98.56031000,1,0,0,0,
	1.10519000,230.06090000,25.86160000,36.02688000,54.08004000,98.48032000,1,0,0,0,
	1.11236800,230.21410000,25.83600000,36.01001000,54.16006000,98.40031000,1,0,0,0,
	1.12109500,230.21410000,25.83600000,36.01001000,54.32005000,98.32030000,1,0,0,0,
	1.12806500,230.36740000,25.80400000,35.99313000,54.48006000,98.24031000,1,0,0,0,
	1.13562300,230.36740000,25.80400000,35.99313000,54.56004000,98.08031000,0,0,0,0,
	1.14905400,230.52070000,25.76560000,35.97626000,54.72005000,97.92030000,0,0,0,0,
	1.15783300,230.52070000,25.76560000,35.97626000,55.04005000,97.52031000,0,0,0,1,
	1.17006000,230.67540000,25.72080000,35.97083000,55.28004000,97.20030000,0,0,0,1,
	1.17757700,230.67540000,25.72080000,35.97083000,55.60005000,96.80030000,0,0,0,1,
	1.18395300,230.67540000,25.72080000,35.97083000,55.84005000,96.40031000,0,0,0,1,
	1.19231900,230.83040000,25.66960000,35.96818000,55.92005000,96.16030000,0,0,0,1,
	1.19963300,230.83040000,25.66960000,35.96818000,56.08005000,95.92030000,0,0,0,1,
	1.20647400,230.98550000,25.61200000,35.96724000,56.24006000,95.52029000,0,0,0,1,
	1.21509400,230.98550000,25.61200000,35.96724000,56.40006000,95.28031000,0,0,0,1,
	1.22444600,230.98550000,25.61200000,35.96724000,56.56005000,94.88030000,0,0,0,1,
	1.23038000,231.14100000,25.54800000,35.96889000,56.72006000,94.56032000,0,0,0,1,
	1.23871700,231.14100000,25.54800000,35.96889000,56.80005000,94.24030000,0,0,0,1,
	1.24631000,231.29650000,25.47760000,35.97227000,56.96007000,93.92031000,0,0,0,1,
	1.25598900,231.29650000,25.47760000,35.97227000,57.12006000,93.52030000,0,0,0,1,
	1.26326000,231.29650000,25.47760000,35.97227000,57.28005000,92.96030000,0,0,0,1,
	1.27172800,231.45220000,25.40080000,35.97932000,57.44005000,92.56030000,0,0,0,1,
	1.28153500,231.45220000,25.40080000,35.97932000,57.60006000,92.00031000,0,0,0,1,
	1.28918700,231.60800000,25.31760000,35.98962000,57.76006000,91.36031000,0,0,0,1,
	1.29773800,231.60800000,25.31760000,35.98962000,57.84006000,90.80031000,0,0,0,1,
	1.30729600,231.76390000,25.22800000,36.00319000,58.00007000,90.16031000,0,0,0,1,
	1.31539100,231.76390000,25.22800000,36.00319000,58.16005000,89.52031000,0,0,0,1,
	1.32407400,231.76390000,25.22800000,36.00319000,58.40006000,88.72031000,0,0,0,1,
	1.33383600,231.91960000,25.13200000,36.02241000,58.56005000,88.08031000,0,0,0,1,
	1.34171100,231.91960000,25.13200000,36.02241000,58.88005000,87.28030000,0,0,0,1,
	1.35168800,232.07510000,25.02960000,36.04578000,59.04005000,86.56031000,0,0,0,1,
	1.36098100,232.07510000,25.02960000,36.04578000,59.36007000,85.60031000,0,0,0,1,
	1.36808000,232.23010000,24.92080000,36.07461000,59.60007000,84.56030000,0,0,0,1,
	1.38196400,232.23010000,24.92080000,36.07461000,59.84007000,83.84030000,0,0,0,1,
	1.38881500,232.38430000,24.80560000,36.10976000,60.24006000,82.24030000,0,0,0,1,
	1.39709400,232.38430000,24.80560000,36.10976000,60.40006000,81.52030000,0,0,0,1,
	1.40537500,232.38430000,24.80560000,36.10976000,60.56006000,80.64030000,0,0,0,1,
	1.41526300,232.53740000,24.68400000,36.15164000,60.72007000,79.76031000,0,0,0,1,
	1.42265000,232.53740000,24.68400000,36.15164000,60.88006000,78.72031000,0,0,0,1,
	1.42884800,232.68950000,24.55600000,36.19851000,61.04007000,77.92030000,0,0,0,1,
	1.43735100,232.68950000,24.55600000,36.19851000,61.20005000,77.44030000,0,0,0,1,
	1.44491900,232.68950000,24.55600000,36.19851000,61.36006000,76.56031000,0,0,0,1,
	1.45219200,232.84020000,24.42160000,36.25119000,61.44007000,75.76031000,0,0,0,1,
	1.45885100,232.84020000,24.42160000,36.25119000,61.60006000,75.04030000,0,0,0,1,
	1.46624200,232.98990000,24.28080000,36.30751000,61.68007000,74.40030000,0,0,0,1,
	1.47590800,232.98990000,24.28080000,36.30751000,61.84008000,73.68030000,0,0,0,1,
	1.48311700,232.98990000,24.28080000,36.30751000,62.00006000,72.72031000,0,0,0,1,
	1.49304300,233.13760000,24.13360000,36.37023000,62.16006000,72.00030000,0,0,0,1,
	1.49956800,233.13760000,24.13360000,36.37023000,62.32007000,71.12031000,0,0,0,1,
	1.50707800,233.28380000,23.98000000,36.43716000,62.48006000,70.40030000,0,0,0,1,
	1.51372000,233.28380000,23.98000000,36.43716000,62.64007000,69.76029000,0,0,0,1,
	1.52207500,233.28380000,23.98000000,36.43716000,62.72006000,69.12030000,0,0,0,1,
	1.53097400,233.42800000,23.82000000,36.50953000,62.88007000,68.32030000,0,0,0,1,
	1.53943900,233.42800000,23.82000000,36.50953000,63.04007000,67.60029000,0,0,0,1,
	1.54661000,233.57040000,23.65360000,36.58604000,63.20008000,66.72029000,0,0,0,1,
	1.55375200,233.57040000,23.65360000,36.58604000,63.28007000,66.08030000,0,0,0,1,
	1.56361200,233.57040000,23.65360000,36.58604000,63.44007000,65.36030000,0,0,0,1,
	1.57090200,233.70980000,23.48080000,36.66888000,63.60007000,64.24030000,0,0,0,1,
	1.57680200,233.70980000,23.48080000,36.66888000,63.76006000,63.44029000,0,0,0,1,
	1.58425800,233.70980000,23.48080000,36.66888000,63.92007000,62.80030000,0,0,0,1,
	1.59158900,233.84640000,23.30160000,36.75734000,64.00008000,62.00030000,0,0,0,1,
	1.60190000,233.84640000,23.30160000,36.75734000,64.16007000,61.04030000,0,0,0,1,
	1.60893300,233.97990000,23.11600000,36.85113000,64.32009000,59.84029000,0,0,0,1,
	1.61758700,233.97990000,23.11600000,36.85113000,64.48007000,58.96029000,0,0,0,1,
	1.62493100,233.97990000,23.11600000,36.85113000,64.64009000,57.84030000,0,0,0,1,
	1.62982200,234.10910000,22.92400000,36.95185000,64.80008000,56.96030000,0,0,0,1,
	1.63951200,234.10910000,22.92400000,36.95185000,64.88007000,56.48030000,0,0,0,1,
	1.64993400,234.23520000,22.72560000,37.05708000,65.04008000,55.04030000,0,0,0,1,
	1.66063000,234.23520000,22.72560000,37.05708000,65.28008000,53.36030000,0,0,0,1,
	1.67111300,234.35550000,22.52080000,37.16976000,65.52010000,51.76030000,0,0,0,1,
	1.68018300,234.35550000,22.52080000,37.16976000,65.76008000,50.08030000,0,0,0,1,
	1.68815000,234.46990000,22.30960000,37.28942000,66.00007000,48.56030000,0,0,0,1,
	1.70234100,234.46990000,22.30960000,37.28942000,66.24009000,47.36030000,0,0,0,1,
	1.71260500,234.57740000,22.09200000,37.41620000,66.64008000,45.12029000,0,0,0,1,
	1.72401200,234.57740000,22.09200000,37.41620000,67.04009000,43.12030000,0,0,0,1,
	1.73794600,234.67650000,21.86800000,37.55061000,67.44007000,41.20030000,0,0,0,1,
	1.74804400,234.77030000,21.63760000,37.68926000,67.84009000,38.88029000,0,0,0,1,
	1.76525700,234.77030000,21.63760000,37.68926000,68.16008000,37.12029000,0,0,0,1,
	1.77614800,234.85280000,21.40080000,37.83586000,68.56009000,34.16030000,0,0,0,1,
	1.78655100,234.93080000,21.15760000,37.98534000,68.88008000,32.32030000,0,0,0,1,
	1.80109500,234.93080000,21.15760000,37.98534000,69.12008000,30.48029000,0,0,0,1,
	1.81173800,234.99820000,20.90800000,38.14078000,69.44009000,28.16030000,0,0,0,1,
	1.82759200,235.06090000,20.65200000,38.29853000,69.76009000,26.40030000,0,0,0,1,
	1.83692700,235.06090000,20.65200000,38.29853000,70.16009000,23.60030000,0,0,0,1,
	1.84416200,235.06090000,20.65200000,38.29853000,70.48009000,21.76030000,0,0,0,1,
	1.86137900,235.10730000,20.38960000,38.46295000,70.64008000,20.48030000,0,0,0,1,
	1.87336700,235.14490000,20.12080000,38.63014000,71.12009000,17.36029000,0,0,0,1,
	1.89177100,235.17650000,19.84560000,38.79897000,71.36011000,15.28030000,0,0,0,1,
	1.90470000,235.17650000,19.84560000,38.79897000,71.60008000,12.00029000,0,0,0,1,
	1.91788700,235.19220000,19.56400000,38.97094000,71.68007000,9.84029700,0,0,0,1,
	1.92584100,235.20110000,19.27600000,39.14381000,71.76011000,7.60029600,0,0,0,1,
	1.93910900,235.20110000,19.27600000,39.14381000,71.76011000,6.40029700,0,0,0,1,
	1.94728100,235.20110000,18.98160000,39.31750000,71.84010000,4.64029700,0,0,0,1,
	1.95977900,235.20110000,18.98160000,39.31750000,71.92010000,3.44029700,0,0,0,1,
	1.97078100,235.19300000,18.68080000,39.49158000,71.92011000,1.92029700,0,0,0,1,
	1.98825300,235.18070000,18.37360000,39.66569000,72.00011000,0.56029700,0,0,0,1,
	2.00435700,235.18070000,18.37360000,39.66569000,72.00009000,358.72030000,0,0,0,1,
	2.01441500,235.15790000,18.06000000,39.83943000,72.08012000,357.12030000,0,0,0,1,
	2.02686800,235.13270000,17.74000000,40.01301000,72.08009000,356.32030000,0,0,0,1,
	2.04103300,235.13270000,17.74000000,40.01301000,72.08012000,355.28030000,0,0,0,1,
	2.04871600,235.10220000,17.41360000,40.18613000,72.08008000,354.56030000,0,0,0,1,
	2.05860800,235.10220000,17.41360000,40.18613000,72.08010000,354.24030000,0,0,0,1,
	2.06601700,235.07020000,17.08080000,40.35909000,72.08012000,354.08030000,0,0,0,1,
	2.07466600,235.07020000,17.08080000,40.35909000,72.08012000,354.08030000,0,0,0,1,
