map
	ez_nostalgia
end

values
	0.63587220,13.06555000,7.90000000,345.20760000,25.49998000,12.97499000,1,0,0,0,
	0.64121000,13.06555000,7.90000000,345.20760000,25.79997000,12.97499000,1,0,0,0,
	0.64661190,13.06555000,7.90000000,345.20760000,26.02498000,12.97499000,1,0,0,0,
	0.65160450,13.09931000,7.90000000,345.35780000,26.32498000,12.97499000,1,0,0,0,
	0.65802890,13.09931000,7.90000000,345.35780000,26.62498000,12.97499000,1,0,0,0,
	0.66502450,13.09931000,7.90000000,345.35780000,26.92497000,12.97499000,1,0,0,0,
	0.67261950,13.13313000,7.90000000,345.50810000,27.29997000,12.97499000,1,0,0,0,
	0.67871810,13.13313000,7.90000000,345.50810000,27.67497000,12.97499000,1,0,0,0,
	0.68543770,13.13313000,7.90000000,345.50810000,28.04997000,12.89999000,1,0,0,0,
	0.69404820,13.16701000,7.90000000,345.65830000,28.42498000,12.89999000,1,0,0,0,
	0.69967420,13.16701000,7.90000000,345.65830000,28.87498000,12.82499000,1,0,0,0,
	0.71130310,13.20090000,7.90000000,345.80860000,29.17498000,12.74999000,1,0,0,0,
	0.71749070,13.20090000,7.90000000,345.80860000,29.84998000,12.59999000,1,0,0,0,
	0.72291270,13.20090000,7.90000000,345.80860000,30.22498000,12.44999000,1,0,0,0,
	0.73112820,13.23480000,8.01060000,345.95880000,30.44997000,12.37499000,1,0,0,0,
	0.73901400,13.23480000,8.01060000,345.95880000,30.89997000,12.22499000,1,0,0,0,
	0.74443190,13.23480000,8.01060000,345.95880000,31.27498000,12.14999000,1,0,0,0,
	0.75056060,13.26869000,8.11480000,346.10900000,31.49998000,12.07499000,1,0,0,0,
	0.75565850,13.26869000,8.11480000,346.10900000,31.79997000,11.92499000,1,0,0,0,
	0.76166120,13.26869000,8.11480000,346.10900000,32.02498000,11.84999000,1,0,0,0,
	0.76840660,13.30258000,8.21260100,346.25930000,32.24997000,11.77499000,1,0,0,0,
	0.77545400,13.30258000,8.21260100,346.25930000,32.54998000,11.62499000,1,0,1,0,
	0.78338210,13.30258000,8.21260100,346.25930000,32.77497000,11.47499000,1,0,1,0,
	0.78897660,13.33648000,8.30400100,346.40950000,33.07497000,11.32499000,1,0,1,0,
	0.79650220,13.33648000,8.30400100,346.40950000,33.22497000,11.24999000,1,0,1,0,
	0.80236390,13.33648000,8.30400100,346.40950000,33.52497000,11.17499000,1,0,1,0,
	0.80903940,13.37037000,8.38900100,346.55980000,33.67497000,11.10000000,1,0,1,0,
	0.82217520,13.37037000,8.38900100,346.55980000,33.89997000,11.10000000,0,0,1,0,
	0.83483830,13.41355000,8.46760100,346.70820000,34.34997000,11.02499000,0,0,1,0,
	0.84321700,13.41355000,8.46760100,346.70820000,34.64997000,11.09999000,0,0,1,0,
	0.85158090,13.45752000,8.53980100,346.85640000,34.94997000,11.32500000,0,0,1,0,
	0.85862170,13.45752000,8.53980100,346.85640000,35.17497000,11.77499000,0,0,1,0,
	0.86490370,13.45752000,8.53980100,346.85640000,35.39997000,12.29999000,0,0,1,0,
	0.87067000,13.50524000,8.60560000,347.00380000,35.54997000,12.75000000,0,0,1,0,
	0.87980410,13.50524000,8.60560000,347.00380000,35.69997000,13.49999000,0,0,1,0,
	0.88567410,13.50524000,8.60560000,347.00380000,35.84998000,14.62499000,0,0,1,0,
	0.89125250,13.56020000,8.66500000,347.14940000,35.92498000,15.52500000,0,0,1,0,
	0.89579520,13.56020000,8.66500000,347.14940000,35.99997000,16.49999000,0,0,1,0,
	0.90150730,13.56020000,8.66500000,347.14940000,36.07498000,17.32500000,0,0,1,0,
	0.90768280,13.62292000,8.71800000,347.29250000,36.07497000,18.52499000,0,0,1,0,
	0.91587330,13.62292000,8.71800000,347.29250000,36.07497000,19.57500000,0,0,1,0,
	0.92539610,13.62292000,8.71800000,347.29250000,36.14998000,21.44999000,0,0,1,1,
	0.93401800,13.69308000,8.76460100,347.43280000,36.14998000,23.55000000,0,0,1,1,
	0.94174610,13.69308000,8.76460100,347.43280000,36.22498000,25.80000000,0,0,1,1,
	0.94857500,13.76323000,8.80480100,347.57310000,36.22498000,27.67499000,0,0,1,1,
	0.95559570,13.76323000,8.80480100,347.57310000,36.22498000,29.40000000,0,0,1,1,
