map
	ez_square2
end

values
	1.48039900,5.61818500,3.39560000,5.32460400,27.43998000,359.52000000,0,0,1,1,
	1.48845000,5.61818500,3.39560000,5.32460400,27.43998000,359.92000000,0,0,0,1,
	1.49512800,5.61818500,3.39560000,5.32460400,27.43998000,0.39998160,0,0,0,1,
	1.50007900,5.60537400,3.44220000,5.49510700,27.43998000,0.55998150,0,0,0,1,
	1.50371400,5.60537400,3.44220000,5.49510700,27.43998000,0.55998150,0,0,0,1,
	1.50778300,5.60537400,3.44220000,5.49510700,27.43998000,0.55998150,0,0,0,1,
	1.51072600,5.60537400,3.44220000,5.49510700,27.43998000,0.55998150,0,0,0,1,
	1.51467800,5.60537400,3.44220000,5.49510700,27.43998000,0.55998150,0,0,0,1,
	1.51782000,5.59256400,3.48240000,5.66561000,27.43998000,0.55998150,0,0,0,1,
	1.52480300,5.59256400,3.48240000,5.66561000,27.43998000,0.55998150,0,0,0,1,
	1.53043000,5.59256400,3.48240000,5.66561000,27.51998000,0.39998160,0,0,0,1,
	1.53700400,5.57927800,3.51620000,5.83611500,27.59998000,0.23998150,0,0,0,1,
	1.55089900,5.57927800,3.51620000,5.83611500,27.75998000,359.84000000,0,0,0,1,
	1.55744200,5.56146600,3.54360000,6.00654300,27.99998000,358.72000000,0,0,0,1,
	1.56470600,5.56146600,3.54360000,6.00654300,28.15998000,358.00000000,0,0,0,1,
	1.57136900,5.56146600,3.54360000,6.00654300,28.23998000,357.20000000,0,0,0,1,
	1.57803300,5.53649900,3.56460000,6.17661000,28.39998000,356.32000000,0,0,0,1,
	1.58490900,5.53649900,3.56460000,6.17661000,28.47998000,355.36000000,0,0,0,1,
	1.59244800,5.53649900,3.56460000,6.17661000,28.63998000,354.48000000,0,0,0,1,
	1.59978500,5.50223300,3.57920000,6.34573700,28.79998000,353.20000000,0,0,0,1,
	1.61250000,5.50223300,3.57920000,6.34573700,28.87998000,352.00000000,0,0,0,1,
	1.61950000,5.45799600,3.58739900,6.51321400,29.03998000,349.84000000,0,0,0,1,
	1.62607600,5.45799600,3.58739900,6.51321400,29.11998000,348.56000000,0,0,0,1,
	1.63349500,5.45799600,3.58739900,6.51321400,29.11998000,347.44000000,0,0,0,1,
	1.64200900,5.40221400,3.58920000,6.67807200,29.19999000,345.92000000,0,0,0,1,
	1.64952300,5.40221400,3.58920000,6.67807200,29.27999000,344.24000000,0,0,0,1,
	1.65491400,5.40221400,3.58920000,6.67807200,29.35998000,342.80000000,0,0,0,1,
	1.66042000,5.33458100,3.58459900,6.83934400,29.35998000,341.84000000,0,0,0,1,
	1.66994700,5.33458100,3.58459900,6.83934400,29.43998000,340.48000000,0,0,0,1,
	1.67638100,5.25736900,3.57360000,6.99699400,29.43998000,338.48000000,0,0,0,1,
	1.68400200,5.25736900,3.57360000,6.99699400,29.51998000,336.88000000,0,0,0,1,
	1.69139100,5.25736900,3.57360000,6.99699400,29.51998000,335.20000000,0,0,0,1,
	1.69866300,5.16572300,3.55620000,7.14791600,29.59999000,333.28000000,0,0,0,1,
	1.70453800,5.16572300,3.55620000,7.14791600,29.67998000,331.60000000,0,0,0,1,
	1.71129900,5.16572300,3.55620000,7.14791600,29.67998000,330.24000000,0,0,0,1,
	1.71841600,5.06064700,3.53240000,7.29105200,29.83998000,328.24000000,0,0,0,1,
	1.72574200,5.06064700,3.53240000,7.29105200,29.83998000,326.64000000,0,0,0,1,
	1.73225500,5.06064700,3.53240000,7.29105200,29.91998000,324.56000000,0,0,0,1,
	1.74017800,4.94202900,3.50220000,7.42458200,29.99998000,322.88000000,0,0,0,1,
	1.74786800,4.94202900,3.50220000,7.42458200,30.07998000,320.88000000,0,0,0,1,
	1.75755200,4.81315900,3.50044000,7.54939700,30.15998000,318.56000000,0,0,0,1,
	1.76471700,4.81315900,3.50044000,7.54939700,30.23998000,316.24000000,0,0,0,1,
	1.77085500,4.81315900,3.50044000,7.54939700,30.23998000,314.64000000,0,0,0,1,
	1.77859300,4.67193800,3.61104000,7.66177300,30.31998000,312.96000000,0,0,0,1,
	1.78635000,4.67193800,3.61104000,7.66177300,30.31998000,310.96000000,0,0,0,1,
	1.79385900,4.67193800,3.61104000,7.66177300,30.39998000,309.04000000,0,0,0,1,
	1.80148400,4.51956700,3.71524000,7.76048700,30.39997000,307.36000000,0,0,0,1,
	1.80867300,4.51956700,3.71524000,7.76048700,30.39998000,305.44000000,0,0,0,1,
	1.81674400,4.36098700,3.81304000,7.85025700,30.39998000,303.92000000,0,0,0,1,
	1.82421600,4.36098700,3.81304000,7.85025700,30.39998000,302.24000000,0,0,0,1,
	1.83014800,4.36098700,3.81304000,7.85025700,30.39998000,300.96000000,0,0,0,1,
	1.83604100,4.19594100,3.90444000,7.92938100,30.39998000,300.00000000,0,0,0,1,
	1.85192200,4.19594100,3.90444000,7.92938100,30.39998000,299.04000000,0,0,1,0,
	1.85895600,4.03995900,3.98944000,8.02614700,30.39998000,297.44000000,0,0,1,0,
	1.86296300,4.03995900,3.98944000,8.02614700,30.31998000,297.28000000,0,0,1,0,
	1.86680000,4.03995900,3.98944000,8.02614700,30.31998000,297.28000000,0,0,1,0,
	1.87017200,4.03995900,3.98944000,8.02614700,30.31998000,297.28000000,0,0,1,0,
	1.87450900,4.03995900,3.98944000,8.02614700,30.31998000,297.28000000,0,0,1,0,
