map
	ez_athletic
end

values
	0.58027350,-17.97252000,-4.03840100,47.37523000,34.80031000,316.65210000,0,0,0,1,
	0.58703960,-18.10940000,-4.11340100,47.49467000,34.72532000,315.52710000,0,0,0,1,
	0.59158270,-18.10940000,-4.11340100,47.49467000,34.65031000,314.17720000,0,0,0,1,
	0.59647170,-18.10940000,-4.11340100,47.49467000,34.65031000,313.27720000,0,0,0,1,
	0.60208800,-18.10940000,-4.11340100,47.49467000,34.57531000,312.30220000,0,0,0,1,
	0.60827340,-18.25550000,-4.19480100,47.60419000,34.57531000,311.25220000,0,0,0,1,
	0.61517480,-18.25550000,-4.19480100,47.60419000,34.50032000,310.27720000,0,0,0,1,
	0.61912220,-18.25550000,-4.19480100,47.60419000,34.50032000,309.07720000,0,0,0,1,
	0.62407940,-18.40720000,-4.28260100,47.70687000,34.50032000,308.47720000,0,0,0,1,
	0.63083940,-18.40720000,-4.28260100,47.70687000,34.42532000,307.72720000,0,0,0,1,
	0.63652630,-18.40720000,-4.28260100,47.70687000,34.42531000,306.75230000,0,0,0,1,
	0.64169690,-18.40720000,-4.28260100,47.70687000,34.35031000,305.85220000,0,0,0,1,
	0.64725930,-18.56502000,-4.37680100,47.80127000,34.27531000,305.25220000,0,0,0,1,
	0.65218580,-18.56502000,-4.37680100,47.80127000,34.20031000,304.42720000,0,0,0,1,
	0.65729650,-18.56502000,-4.37680100,47.80127000,34.12531000,303.82730000,0,0,0,1,
	0.66100690,-18.56502000,-4.37680100,47.80127000,34.12531000,303.30220000,0,0,0,1,
	0.66735180,-18.72698000,-4.26620100,47.88948000,34.05031000,302.92720000,0,0,0,1,
	0.67346370,-18.72698000,-4.26620100,47.88948000,34.05031000,302.47720000,0,0,0,1,
	0.68030820,-18.72698000,-4.26620100,47.88948000,33.97531000,302.02720000,0,0,0,0,
	0.68654780,-18.89048000,-4.16200100,47.97524000,33.90030000,301.72720000,0,0,0,0,
	0.69015730,-18.89048000,-4.16200100,47.97524000,33.90031000,301.50220000,0,0,0,0,
	0.69901920,-18.89048000,-4.16200100,47.97524000,33.90031000,301.50220000,0,0,1,0,
	0.70488150,-19.04474000,-4.06420100,48.07613000,33.90031000,301.42720000,0,0,1,0,
	0.70970250,-19.04474000,-4.06420100,48.07613000,33.90031000,301.42720000,0,0,1,0,
	0.71343940,-19.04474000,-4.06420100,48.07613000,33.90031000,301.42720000,0,0,1,0,
	0.71817090,-19.04474000,-4.06420100,48.07613000,33.90031000,301.42720000,0,0,1,0,
