map
	ez_horizon
end

values
	0.61375750,-0.07873143,0.90000000,4.17479500,29.17500000,351.82500000,1,0,0,0,
	0.61839030,-0.09171499,0.89999990,4.32852300,29.32500000,351.75000000,1,0,0,0,
	0.62571950,-0.09171499,0.89999990,4.32852300,29.40000000,351.67500000,1,0,0,0,
	0.63094810,-0.09171499,0.89999990,4.32852300,29.62500000,351.52500000,1,0,0,0,
	0.63732690,-0.10544070,0.90000000,4.48219000,29.77500000,351.45000000,1,0,0,0,
	0.64430410,-0.10544070,0.90000000,4.48219000,29.92500000,351.30000000,1,0,0,0,
	0.65227180,-0.10544070,0.90000000,4.48219000,30.07500000,351.15000000,1,0,0,0,
	0.66038910,-0.12011440,0.89999990,4.63578500,30.30000000,351.00000000,1,0,0,0,
	0.66693580,-0.12011440,0.89999990,4.63578500,30.52500000,350.85000000,1,0,0,0,
	0.67192520,-0.12011440,0.89999990,4.63578500,30.67500000,350.77500000,1,0,0,0,
	0.67737620,-0.13566050,0.90000000,4.78929000,30.82500000,350.70000000,1,0,0,0,
	0.68383870,-0.13566050,0.90000000,4.78929000,30.97500000,350.55000000,1,0,0,0,
	0.69063560,-0.13566050,0.90000000,4.78929000,31.12499000,350.40000000,1,0,0,0,
	0.69546310,-0.15205800,0.89999990,4.94273000,31.34999000,350.25000000,1,0,0,0,
	0.70233480,-0.15205800,0.89999990,4.94273000,31.42499000,350.17500000,1,0,0,0,
	0.70822450,-0.15205800,0.89999990,4.94273000,31.65000000,349.95000000,1,0,0,0,
	0.71618090,-0.16928110,0.90000000,5.09610400,31.87500000,349.80000000,1,0,0,0,
	0.72907700,-0.16928110,0.90000000,5.09610400,32.10000000,349.57500000,1,0,0,0,
	0.73531160,-0.18689550,1.01060000,5.24944800,32.47500000,349.05000000,1,0,0,0,
	0.74237520,-0.18689550,1.01060000,5.24944800,32.70000000,348.82500000,1,0,0,0,
	0.74935400,-0.18689550,1.01060000,5.24944800,32.92500000,348.52500000,1,0,0,0,
	0.75606020,-0.20450990,1.11480000,5.40279200,33.07499000,348.22500000,1,0,0,0,
	0.76258450,-0.20450990,1.11480000,5.40279200,33.30000000,347.77500000,1,0,0,0,
	0.77079390,-0.20450990,1.11480000,5.40279200,33.45000000,347.47500000,1,0,0,0,
	0.77813590,-0.22212420,1.21260000,5.55613700,33.60000000,346.95000000,1,0,0,0,
	0.78516580,-0.22212420,1.21260000,5.55613700,33.75000000,346.50000000,1,0,0,0,
	0.79189330,-0.22212420,1.21260000,5.55613700,33.82500000,346.20000000,1,0,0,0,
	0.80188990,-0.23973860,1.30400000,5.70948100,33.82500000,345.90000000,1,0,1,0,
	0.81216670,-0.23973860,1.30400000,5.70948100,33.90001000,345.45000000,0,0,1,0,
	0.81926030,-0.25735300,1.38900000,5.86282500,33.90001000,345.00000000,0,0,1,0,
	0.82647670,-0.25735300,1.38900000,5.86282500,33.90001000,344.85000000,0,0,1,0,
	0.83238580,-0.25735300,1.38900000,5.86282500,33.90001000,344.77500000,0,0,1,0,
	0.83668800,-0.27496740,1.46760000,6.01616900,33.90001000,344.70000000,0,0,1,0,
	0.84233190,-0.27496740,1.46760000,6.01616900,33.90001000,344.70000000,0,0,1,0,
	0.84695830,-0.27496740,1.46760000,6.01616900,33.90001000,344.62500000,0,0,1,0,
	0.85186350,-0.27496740,1.46760000,6.01616900,33.90001000,344.62500000,0,0,1,0,
	0.85563620,-0.29258170,1.53980000,6.16951300,33.90001000,344.62500000,0,0,1,0,
	0.86229190,-0.29258170,1.53980000,6.16951300,33.90001000,344.62500000,0,0,1,0,
	0.86819710,-0.29258170,1.53980000,6.16951300,33.90001000,344.70000000,0,0,1,0,
	0.87974480,-0.31019610,1.60560000,6.32285700,33.82500000,344.85000000,0,0,1,0,
	0.89158280,-0.31019610,1.60560000,6.32285700,33.67500000,345.15000000,0,0,1,0,
	0.89748670,-0.32781050,1.66500000,6.47620200,33.37500000,345.67500000,0,0,1,0,
	0.90324850,-0.32781050,1.66500000,6.47620200,33.30001000,345.97500000,0,0,1,0,
