map
	ez_nostalgia
end

values
	0.47936590,11.23906000,0.90000000,321.97300000,5.02500200,264.97490000,1,0,0,0,
	0.48562710,11.23906000,0.90000000,321.97300000,5.17500100,264.89990000,1,0,0,0,
	0.49085660,11.23906000,0.90000000,321.97300000,5.32500100,264.82490000,1,0,0,0,
	0.49542490,11.12462000,0.90000000,321.96530000,5.40000100,264.82490000,1,0,0,0,
	0.50206200,11.12462000,0.90000000,321.96530000,5.47500000,264.74990000,1,0,0,0,
	0.50742610,11.12462000,0.90000000,321.96530000,5.55000000,264.74990000,1,0,0,0,
	0.51233690,11.12462000,0.90000000,321.96530000,5.70000000,264.74990000,1,0,0,0,
	0.51565590,11.00166000,0.90000000,321.95650000,5.77500000,264.67490000,1,0,0,0,
	0.52117020,11.00166000,0.90000000,321.95650000,5.77500000,264.67490000,1,0,0,0,
	0.52578790,11.00166000,0.90000000,321.95650000,5.85000000,264.67490000,1,0,0,0,
	0.53053230,11.00166000,0.90000000,321.95650000,5.92500000,264.67490000,1,0,0,0,
	0.53507980,10.87147000,0.90000000,321.94670000,6.00000000,264.67490000,1,0,0,0,
	0.54026270,10.87147000,0.90000000,321.94670000,6.07499900,264.67490000,1,0,0,0,
	0.54369830,10.87147000,0.90000000,321.94670000,6.15000000,264.67490000,1,0,0,0,
	0.54893070,10.87147000,0.90000000,321.94670000,6.15000000,264.67490000,1,0,0,0,
	0.55390380,10.73397000,0.90000000,321.93610000,6.22499900,264.67490000,1,0,0,0,
	0.55776770,10.73397000,0.90000000,321.93610000,6.29999900,264.67490000,1,0,0,0,
	0.56303130,10.73397000,0.90000000,321.93610000,6.29999900,264.67490000,1,0,0,0,
	0.56869410,10.73397000,0.90000000,321.93610000,6.37499900,264.67490000,1,0,0,0,
	0.57382840,10.58862000,0.90000000,321.92450000,6.44999800,264.67490000,1,0,0,0,
	0.58040700,10.58862000,0.90000000,321.92450000,6.52499800,264.67490000,1,0,0,0,
	0.58613070,10.58862000,0.90000000,321.92450000,6.59999800,264.67490000,1,0,0,0,
	0.59244310,10.58862000,0.90000000,321.92450000,6.67499800,264.67490000,1,0,0,0,
	0.59929020,10.43512000,0.90000000,321.91190000,6.74999800,264.67490000,1,0,0,0,
	0.60588190,10.43512000,0.90000000,321.91190000,6.89999800,264.67490000,1,0,0,0,
	0.61113690,10.43512000,0.90000000,321.91190000,6.97499800,264.67490000,1,0,0,0,
	0.61743220,10.28164000,0.90000000,321.89920000,7.04999800,264.67490000,1,0,0,0,
	0.62246890,10.28164000,0.90000000,321.89920000,7.12499700,264.67490000,1,0,0,0,
	0.62727420,10.28164000,0.90000000,321.89920000,7.19999700,264.67490000,1,0,0,0,
	0.63247200,10.28164000,0.90000000,321.89920000,7.27499700,264.67490000,1,0,0,0,
	0.63661440,10.12817000,0.90000000,321.88640000,7.34999700,264.67490000,1,0,0,0,
	0.64261780,10.12817000,0.90000000,321.88640000,7.34999700,264.67490000,1,0,0,0,
	0.64744850,10.12817000,0.90000000,321.88640000,7.49999700,264.67490000,1,0,0,0,
	0.65279080,10.12817000,0.90000000,321.88640000,7.57499600,264.67490000,1,0,0,0,
	0.66005670,9.97471600,0.90000000,321.87340000,7.64999700,264.67490000,1,0,0,0,
	0.66679730,9.97471600,0.90000000,321.87340000,7.79999700,264.67490000,1,0,0,0,
	0.67740540,9.82126700,0.90000000,321.86030000,7.87499700,264.67490000,1,0,0,0,
	0.68958380,9.82126700,0.90000000,321.86030000,8.09999600,264.67490000,1,0,0,0,
	0.69506190,9.66783000,0.90000000,321.84710000,8.32499600,264.67490000,1,0,0,0,
	0.70115050,9.66783000,0.90000000,321.84710000,8.39999700,264.67490000,1,0,0,0,
	0.70620350,9.66783000,0.90000000,321.84710000,8.54999600,264.67490000,1,0,0,0,
	0.71303020,9.66783000,0.90000000,321.84710000,8.62499600,264.67490000,1,0,0,0,
	0.71981850,9.51440200,0.90000000,321.83380000,8.77499500,264.67490000,1,0,0,0,
	0.72822390,9.51440200,0.90000000,321.83380000,8.92499600,264.67490000,1,0,0,0,
	0.73382070,9.36098100,0.90000000,321.82050000,9.14999700,264.67490000,1,0,0,0,
	0.73947660,9.36098100,0.90000000,321.82050000,9.29999600,264.67490000,1,0,0,0,
	0.74479200,9.36098100,0.90000000,321.82050000,9.44999600,264.67490000,1,0,0,0,
	0.75059980,9.36098100,0.90000000,321.82050000,9.59999600,264.67490000,1,0,0,0,
	0.75735330,9.20756700,0.90000000,321.80700000,9.74999400,264.59990000,1,0,0,0,
	0.76369860,9.20756700,0.90000000,321.80700000,9.89999600,264.59990000,1,0,0,0,
	0.77107920,9.20756700,0.90000000,321.80700000,10.04999000,264.59990000,1,0,0,0,
	0.77934750,9.05416200,0.90000000,321.79350000,10.27499000,264.59990000,1,0,0,0,
	0.79071730,9.05416200,0.90000000,321.79350000,10.50000000,264.52480000,1,0,0,0,
	0.79792610,8.90076500,0.90000000,321.77980000,10.80000000,264.52480000,1,0,0,0,
	0.80600290,8.90076500,0.90000000,321.77980000,11.02499000,264.44980000,1,0,0,0,
	0.81360950,8.74737500,0.90000000,321.76610000,11.25000000,264.44980000,1,0,0,0,
	0.81971170,8.74737500,0.90000000,321.76610000,11.47500000,264.44980000,1,0,0,0,
	0.82461850,8.74737500,0.90000000,321.76610000,11.70000000,264.37480000,1,0,0,0,
	0.83212660,8.74737500,0.90000000,321.76610000,11.85000000,264.37480000,1,0,0,0,
	0.83632680,8.59399800,0.90000000,321.75220000,12.07500000,264.37480000,1,0,0,0,
	0.84297310,8.59399800,0.90000000,321.75220000,12.22499000,264.37480000,1,0,0,0,
	0.84844770,8.59399800,0.90000000,321.75220000,12.37500000,264.29980000,1,0,0,0,
	0.85340040,8.44062900,0.90000000,321.73820000,12.60000000,264.29980000,1,0,0,0,
	0.85840910,8.44062900,0.90000000,321.73820000,12.74999000,264.29980000,1,0,0,0,
	0.86783760,8.44062900,0.90000000,321.73820000,12.90000000,264.22480000,1,0,0,0,
	0.87188410,8.44062900,0.90000000,321.73820000,13.19999000,264.22480000,1,0,0,0,
	0.87734660,8.28727100,0.90000000,321.72410000,13.34999000,264.14980000,1,0,0,0,
	0.88373940,8.28727100,0.90000000,321.72410000,13.50000000,264.14980000,1,0,0,0,
	0.88839260,8.28727100,0.90000000,321.72410000,13.72499000,264.07480000,1,0,0,0,
	0.89639140,8.13392500,0.90000000,321.70980000,13.87500000,264.07480000,1,0,0,0,
	0.90250970,8.13392500,0.90000000,321.70980000,14.10000000,263.99980000,1,0,0,0,
	0.90771380,8.13392500,0.90000000,321.70980000,14.25000000,263.99980000,1,0,0,0,
	0.91324410,7.98059300,0.90000000,321.69530000,14.32500000,263.99980000,1,0,0,0,
	0.92064830,7.98059300,0.90000000,321.69530000,14.55000000,263.92470000,1,0,0,0,
	0.92936640,7.98059300,0.90000000,321.69530000,14.69999000,263.84970000,1,0,0,0,
	0.93452170,7.82727700,0.90000000,321.68070000,14.92499000,263.84970000,1,0,0,0,
	0.94016360,7.82727700,0.90000000,321.68070000,15.00000000,263.84970000,1,0,0,0,
	0.94534620,7.82727700,0.90000000,321.68070000,15.14999000,263.77470000,1,0,0,0,
	0.95033880,7.82727700,0.90000000,321.68070000,15.29999000,263.77470000,1,0,0,0,
	0.95666090,7.67397600,0.90000000,321.66590000,15.37500000,263.69970000,1,0,0,0,
	0.96116680,7.67397600,0.90000000,321.66590000,15.52499000,263.69970000,1,0,0,0,
	0.96638270,7.67397600,0.90000000,321.66590000,15.60000000,263.62470000,1,0,0,0,
	0.97429930,7.52069000,0.90000000,321.65100000,15.74999000,263.62470000,1,0,0,0,
	0.97976630,7.52069000,0.90000000,321.65100000,15.89999000,263.62470000,1,0,0,0,
	0.98616310,7.52069000,0.90000000,321.65100000,15.97499000,263.54970000,1,0,0,0,
	0.99260610,7.52069000,0.90000000,321.65100000,16.04999000,263.54970000,1,0,0,0,
	0.99852900,7.36740400,1.01060000,321.63600000,16.12499000,263.54970000,1,0,0,0,
	1.00546200,7.36740400,1.01060000,321.63600000,16.19999000,263.47470000,1,0,0,0,
	1.00929000,7.36740400,1.01060000,321.63600000,16.27499000,263.47470000,1,0,0,0,
	1.01475000,7.21411800,1.11480000,321.62110000,16.27499000,263.47470000,1,0,0,0,
	1.02449200,7.21411800,1.11480000,321.62110000,16.34999000,263.47470000,1,0,0,0,
	1.03589700,7.06083200,1.21260000,321.60610000,16.42500000,263.47470000,1,0,0,0,
	1.04180100,7.06083200,1.21260000,321.60610000,16.65000000,263.47470000,1,0,0,0,
	1.04949500,7.06083200,1.21260000,321.60610000,16.80000000,263.47470000,1,0,1,0,
	1.05840400,6.90754600,1.30400000,321.59120000,16.95000000,263.54970000,1,0,1,0,
	1.06637400,6.90754600,1.30400000,321.59120000,17.24999000,263.77470000,1,0,1,0,
	1.07327800,6.75426000,1.38900000,321.57620000,17.55000000,264.14970000,0,0,1,0,
	1.08299300,6.75426000,1.38900000,321.57620000,17.85000000,264.67470000,0,0,1,0,
	1.08926600,6.75426000,1.38900000,321.57620000,18.22499000,265.72470000,0,0,1,0,
	1.09709300,6.59924400,1.46760000,321.58190000,18.52499000,266.92470000,0,0,1,0,
	1.11157900,6.59924400,1.46760000,321.58190000,18.82499000,267.97470000,0,0,1,0,
	1.11713100,6.44434300,1.53980000,321.59950000,19.42499000,271.34970000,0,0,1,0,
	1.12227300,6.44434300,1.53980000,321.59950000,19.64999000,272.62470000,0,0,1,0,
	1.12840200,6.44434300,1.53980000,321.59950000,19.79999000,273.67460000,0,0,1,0,
	1.13998100,6.29012700,1.60560000,321.62740000,19.95000000,275.09960000,0,0,1,0,
	1.15009600,6.29012700,1.60560000,321.62740000,20.24999000,277.79960000,0,0,1,0,
	1.15589100,6.13790000,1.66500000,321.66820000,20.47499000,279.89970000,0,0,1,0,
	1.16196900,6.13790000,1.66500000,321.66820000,20.54999000,281.32460000,0,0,1,0,
	1.16921200,6.13790000,1.66500000,321.66820000,20.54999000,282.59970000,0,0,1,0,
	1.17590300,5.98799200,1.71800000,321.71940000,20.55000000,283.79970000,0,0,1,1,
	1.18457100,5.98799200,1.71800000,321.71940000,20.62499000,285.07460000,0,0,1,1,
	1.19266600,5.98799200,1.71800000,321.71940000,20.62500000,286.27470000,0,0,0,1,
	1.20234500,5.83324200,1.76460000,321.75520000,20.62500000,287.39970000,0,0,0,1,
	1.20835800,5.83324200,1.76460000,321.75520000,20.62499000,288.22470000,0,0,0,1,
	1.21377700,5.67849300,1.80480000,321.79100000,20.62500000,288.67470000,0,0,0,1,
	1.21928500,5.67849300,1.80480000,321.79100000,20.54999000,288.89970000,0,0,0,1,
	1.22441700,5.67849300,1.80480000,321.79100000,20.54999000,289.04970000,0,0,0,1,
	1.22878600,5.67849300,1.80480000,321.79100000,20.55000000,289.12470000,0,0,0,1,
	1.23156400,5.67849300,1.80480000,321.79100000,20.55000000,289.12470000,0,0,0,1,
	1.23526200,5.52374400,1.83860000,321.82680000,20.55000000,289.12470000,0,0,0,1,
	1.23886400,5.52374400,1.83860000,321.82680000,20.55000000,289.12470000,0,0,0,1,
	1.24246400,5.52374400,1.83860000,321.82680000,20.55000000,289.12470000,0,0,0,1,
	1.24554200,5.52374400,1.83860000,321.82680000,20.55000000,289.12470000,0,0,0,1,
	1.24951800,5.52374400,1.83860000,321.82680000,20.55000000,289.12470000,0,0,0,1,
	1.25354600,5.36899400,1.86600000,321.86260000,20.55000000,289.12470000,0,0,0,1,
	1.25895800,5.36899400,1.86600000,321.86260000,20.54999000,289.04970000,0,0,0,1,
	1.26506600,5.36899400,1.86600000,321.86260000,20.54999000,288.89970000,0,0,0,1,
	1.27038800,5.36899400,1.86600000,321.86260000,20.54999000,288.67470000,0,0,0,1,
	1.27383600,5.21424500,1.88700000,321.89840000,20.54999000,288.52470000,0,0,0,1,
	1.28056700,5.21424500,1.88700000,321.89840000,20.54999000,288.37470000,0,0,0,1,
	1.28580100,5.21424500,1.88700000,321.89840000,20.54999000,288.07470000,0,0,0,1,
	1.29096700,5.21424500,1.88700000,321.89840000,20.55000000,287.69970000,0,0,0,1,
	1.29734500,5.05886900,1.90160000,321.93220000,20.54999000,287.32470000,0,0,0,1,
	1.30646200,5.05886900,1.90160000,321.93220000,20.55000000,286.94970000,0,0,0,1,
	1.31280200,5.05886900,1.90160000,321.93220000,20.62499000,286.27470000,0,0,0,1,
	1.31897500,4.90232800,1.90980000,321.96200000,20.69999000,285.82470000,0,0,0,1,
	1.32503300,4.90232800,1.90980000,321.96200000,20.70000000,285.29970000,0,0,0,1,
