map
	ez_athletic
end

values
	0.74357150,-21.50372000,19.90700000,52.71809000,28.27514000,184.50040000,1,0,1,0,
	0.74923770,-21.50331000,19.89600000,52.56409000,28.35015000,184.35040000,1,0,1,0,
	0.75625780,-21.50331000,19.89600000,52.56409000,28.50015000,184.12540000,1,0,1,0,
	0.76050620,-21.50331000,19.89600000,52.56409000,28.57515000,183.82530000,1,0,1,0,
	0.76585730,-21.50290000,19.87860000,52.41009000,28.65015000,183.60030000,1,0,1,0,
	0.77291230,-21.50290000,19.87860000,52.41009000,28.80015000,183.30030000,1,0,1,0,
	0.78003030,-21.50290000,19.87860000,52.41009000,28.95015000,182.92530000,1,0,1,0,
	0.78686570,-21.50249000,19.85480000,52.25609000,29.10014000,182.40030000,1,0,1,0,
	0.79368220,-21.50249000,19.85480000,52.25609000,29.25015000,181.95030000,1,0,1,0,
	0.80062040,-21.50249000,19.85480000,52.25609000,29.40014000,181.50040000,1,0,1,0,
	0.80605890,-21.50209000,19.82460000,52.10209000,29.55014000,180.97540000,1,0,1,0,
	0.81213390,-21.50209000,19.82460000,52.10209000,29.62515000,180.67540000,1,0,1,0,
	0.81747510,-21.50209000,19.82460000,52.10209000,29.70015000,180.30040000,1,0,1,0,
	0.82249540,-21.50209000,19.82460000,52.10209000,29.77515000,179.92540000,1,0,1,0,
	0.82775120,-21.50168000,19.78800000,51.94809000,29.92515000,179.62540000,1,0,1,0,
	0.83411430,-21.50168000,19.78800000,51.94809000,30.00014000,179.32530000,1,0,1,0,
	0.84004600,-21.50168000,19.78800000,51.94809000,30.00015000,179.02530000,1,0,1,0,
	0.84445340,-21.50127000,19.74500000,51.79409000,30.07515000,178.65030000,1,0,1,0,
	0.85073090,-21.50127000,19.74500000,51.79409000,30.15015000,178.42530000,1,0,1,0,
	0.85651690,-21.50127000,19.74500000,51.79409000,30.15015000,178.05030000,1,0,1,0,
	0.86314460,-21.50127000,19.74500000,51.79409000,30.22515000,177.67530000,0,0,1,0,
	0.87052470,-21.50841000,19.69560000,51.63976000,30.22515000,177.45030000,0,0,1,0,
	0.87709830,-21.50841000,19.69560000,51.63976000,30.22515000,177.00030000,0,0,1,0,
	0.88308900,-21.50841000,19.69560000,51.63976000,30.22515000,176.77530000,0,0,1,0,
	0.88904630,-21.51555000,19.63980000,51.48542000,30.22515000,176.55030000,0,0,1,0,
	0.89690610,-21.51555000,19.63980000,51.48542000,30.22515000,176.25030000,0,0,1,0,
	0.90162500,-21.51555000,19.63980000,51.48542000,30.22515000,175.95030000,0,0,1,0,
	0.90572820,-21.52269000,19.57760000,51.33109000,30.22515000,175.80030000,0,0,1,0,
	0.91267900,-21.52269000,19.57760000,51.33109000,30.22515000,175.65030000,0,0,1,0,
	0.91781720,-21.52269000,19.57760000,51.33109000,30.22515000,175.35030000,0,0,1,0,
	0.92309760,-21.52269000,19.57760000,51.33109000,30.22515000,175.12530000,0,0,1,0,
	0.92733780,-21.52983000,19.50900000,51.17675000,30.22515000,174.90030000,0,0,1,0,
	0.93283330,-21.52983000,19.50900000,51.17675000,30.22515000,174.75030000,0,0,1,0,
	0.93790880,-21.52983000,19.50900000,51.17675000,30.22515000,174.52530000,0,0,1,0,
	0.94293520,-21.52983000,19.50900000,51.17675000,30.15015000,174.30030000,0,0,1,0,
	0.94754370,-21.53698000,19.43400000,51.02242000,30.15015000,174.07530000,0,0,1,0,
	0.95313670,-21.53698000,19.43400000,51.02242000,30.15015000,173.85030000,0,0,1,0,
	0.95874140,-21.53698000,19.43400000,51.02242000,30.07515000,173.55030000,0,0,1,0,
	0.96310750,-21.53698000,19.43400000,51.02242000,30.07516000,173.32530000,0,0,1,0,
	0.96748410,-21.54412000,19.35260000,50.86808000,30.07515000,173.17530000,0,0,1,0,
	0.97279410,-21.54412000,19.35260000,50.86808000,30.00015000,173.02530000,0,0,1,0,
	0.97755280,-21.54412000,19.35260000,50.86808000,30.00015000,172.87530000,0,0,1,0,
	0.98166410,-21.54412000,19.35260000,50.86808000,30.00015000,172.72530000,0,0,1,0,
	0.98722950,-21.55126000,19.26480000,50.71375000,29.92514000,172.57530000,0,0,1,0,
	0.99389790,-21.55126000,19.26480000,50.71375000,29.92515000,172.42530000,0,0,1,0,
	0.99853680,-21.55126000,19.26480000,50.71375000,29.92515000,172.27530000,0,0,1,0,
	1.00278000,-21.55126000,19.26480000,50.71375000,29.85015000,172.20030000,0,0,1,0,
	1.00878200,-21.55840000,19.17060000,50.55941000,29.85015000,172.12530000,0,0,1,0,
	1.01468200,-21.55840000,19.17060000,50.55941000,29.85015000,172.05030000,0,0,1,0,
	1.01969600,-21.55840000,19.17060000,50.55941000,29.77515000,171.97530000,0,0,1,0,
	1.02368300,-21.56554000,19.07000000,50.40508000,29.77514000,171.90030000,0,0,1,0,
	1.02850800,-21.56554000,19.07000000,50.40508000,29.77515000,171.82530000,0,0,1,0,
	1.03207100,-21.56554000,19.07000000,50.40508000,29.77515000,171.82530000,0,0,1,0,
	1.03671300,-21.56554000,19.07000000,50.40508000,29.77515000,171.82530000,0,0,1,0,
	1.04168300,-21.56554000,19.07000000,50.40508000,29.70015000,171.82530000,0,0,1,0,
	1.04468900,-21.57268000,18.96300000,50.25074000,29.70015000,171.75040000,0,0,1,0,
	1.04966900,-21.57268000,18.96300000,50.25074000,29.70015000,171.75040000,0,0,1,0,
	1.05350800,-21.57268000,18.96300000,50.25074000,29.70015000,171.75040000,0,0,1,0,
	1.05745300,-21.57268000,18.96300000,50.25074000,29.70015000,171.75040000,0,0,1,0,
	1.06173100,-21.57268000,18.96300000,50.25074000,29.70015000,171.75040000,0,0,1,0,
	1.06498500,-21.57982000,18.84960000,50.09641000,29.70015000,171.75040000,0,0,1,0,
	1.07075900,-21.57982000,18.84960000,50.09641000,29.70015000,171.75040000,0,0,1,0,
	1.07553400,-21.57982000,18.84960000,50.09641000,29.62514000,171.75040000,0,0,1,0,
	1.07959200,-21.57982000,18.84960000,50.09641000,29.62514000,171.75040000,0,0,1,0,
	1.08497400,-21.58696000,18.72980000,49.94207000,29.62514000,171.67540000,0,0,1,0,
	1.08994500,-21.58696000,18.72980000,49.94207000,29.55014000,171.67540000,0,0,1,0,
	1.09461300,-21.58696000,18.72980000,49.94207000,29.55014000,171.67540000,0,0,1,0,
	1.10009800,-21.58696000,18.72980000,49.94207000,29.47515000,171.67540000,0,0,1,0,
	1.10506000,-21.59410000,18.60360000,49.78774000,29.47515000,171.60040000,0,0,1,0,
	1.10962000,-21.59410000,18.60360000,49.78774000,29.40014000,171.60040000,0,0,1,0,
	1.11312600,-21.59410000,18.60360000,49.78774000,29.40014000,171.60040000,0,0,1,0,
	1.11826800,-21.59410000,18.60360000,49.78774000,29.40014000,171.60040000,0,0,1,0,
	1.12282100,-21.59410000,18.60360000,49.78774000,29.40014000,171.52540000,0,0,1,0,
	1.12683400,-21.54649000,18.56055000,49.62035000,29.32514000,171.52540000,0,0,1,0,
