map
	ez_flyer
end

values
	0.69636760,-0.13585090,0.89999990,-82.64212000,19.80000000,353.20000000,1,0,0,0,
	0.70129140,-0.14961780,0.90000000,-82.48867000,20.00000000,353.15000000,1,0,0,0,
	0.70850120,-0.14961780,0.90000000,-82.48867000,20.10000000,353.15000000,1,0,0,0,
	0.71349480,-0.14961780,0.90000000,-82.48867000,20.30000000,353.10000000,1,0,0,0,
	0.71802710,-0.16374490,0.89999990,-82.33525000,20.40000000,353.05000000,1,0,0,0,
	0.72391470,-0.16374490,0.89999990,-82.33525000,20.50000000,353.05000000,1,0,0,0,
	0.72868280,-0.16374490,0.89999990,-82.33525000,20.65000000,353.00000000,1,0,0,0,
	0.73350380,-0.16374490,0.89999990,-82.33525000,20.75000000,353.00000000,1,0,0,0,
	0.73914440,-0.17828110,0.90000000,-82.18188000,20.85000000,352.95000000,1,0,0,0,
	0.74423000,-0.17828110,0.90000000,-82.18188000,21.00000000,352.95000000,1,0,0,0,
	0.75059410,-0.17828110,0.90000000,-82.18188000,21.10000000,352.90000000,1,0,0,0,
	0.75664320,-0.17828110,0.90000000,-82.18188000,21.25000000,352.85000000,1,0,0,0,
	0.76171980,-0.19327710,0.89999990,-82.02855000,21.40000000,352.85000000,1,0,0,0,
	0.76834000,-0.19327710,0.89999990,-82.02855000,21.50000000,352.80000000,1,0,0,0,
	0.77350550,-0.19327710,0.89999990,-82.02855000,21.65000000,352.75000000,1,0,0,0,
	0.78075360,-0.20860260,0.90000000,-81.87526000,21.80000000,352.75000000,1,0,0,0,
	0.78769620,-0.20860260,0.90000000,-81.87526000,21.95000000,352.70000000,1,0,0,0,
	0.79279550,-0.20860260,0.90000000,-81.87526000,22.15000000,352.65000000,1,0,0,0,
	0.79721890,-0.20860260,0.90000000,-81.87526000,22.30000000,352.60000000,1,0,0,0,
	0.80269020,-0.22438720,0.89999990,-81.72202000,22.45000000,352.55000000,1,0,0,0,
	0.80837010,-0.22438720,0.89999990,-81.72202000,22.60000000,352.50000000,1,0,0,0,
	0.81324550,-0.22438720,0.89999990,-81.72202000,22.75000000,352.45000000,1,0,0,0,
	0.82107560,-0.24048920,0.90000000,-81.56880000,22.90000000,352.40000000,1,0,0,0,
