map
	ez_training
end

values
	0.35455090,8.09926200,0.90000000,12.80808000,21.05000000,181.20020000,1,0,0,0,
	0.35961510,8.09926200,0.90000000,12.80808000,21.05000000,181.20020000,1,0,0,0,
	0.36319620,8.09926200,0.90000000,12.80808000,21.05000000,181.15020000,1,0,0,0,
	0.36743170,8.09731900,0.90000000,12.73260000,21.05000000,181.15020000,1,0,0,0,
	0.37292720,8.09731900,0.90000000,12.73260000,21.05000000,181.15020000,1,0,0,0,
	0.37757630,8.09731900,0.90000000,12.73260000,21.09999000,181.15020000,1,0,0,0,
	0.38255930,8.09731900,0.90000000,12.73260000,21.09999000,181.10020000,1,0,0,0,
	0.38596390,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.39023460,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.39463050,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.39783010,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.40138430,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.40435640,8.09529800,0.90000000,12.64937000,21.09999000,181.10020000,1,0,0,0,
	0.40761100,8.09317900,0.90000000,12.55743000,21.09999000,181.10020000,1,0,0,0,
	0.41173010,8.09317900,0.90000000,12.55743000,21.09999000,181.10020000,1,0,0,0,
	0.41526900,8.09317900,0.90000000,12.55743000,21.09999000,181.10020000,1,0,0,0,
	0.41817110,8.09317900,0.90000000,12.55743000,21.09999000,181.10020000,1,0,0,0,
	0.42165630,8.09317900,0.90000000,12.55743000,21.09999000,181.10020000,1,0,0,0,
	0.42512130,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.42978910,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.43278620,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.43611110,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.43891190,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.44249370,8.09096900,0.90000000,12.45857000,21.09999000,181.10020000,1,0,0,0,
	0.44551120,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.44955000,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.45245550,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.45577290,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.45913240,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.46213240,8.08864100,0.90000000,12.35137000,21.09999000,181.10020000,1,0,0,0,
	0.46531990,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.46914780,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.47276150,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.47673010,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.47996470,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.48309890,8.08619500,0.90000000,12.23632000,21.09999000,181.10020000,1,0,0,0,
	0.48648450,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.49098680,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.49400110,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.49707030,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.49998100,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.50275670,8.08361500,0.90000000,12.11288000,21.09999000,181.10020000,1,0,0,0,
	0.50618640,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.50982450,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.51308980,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.51599060,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.51924840,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.52224150,8.08090600,0.90000000,11.98158000,21.09999000,181.10020000,1,0,0,0,
	0.52558100,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.52916700,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.53270500,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.53669680,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.54020050,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.54298870,8.07806600,0.90000000,11.84248000,21.09999000,181.10020000,1,0,0,0,
	0.54715750,8.07508300,0.90000000,11.69509000,21.09999000,181.10020000,1,0,0,0,
	0.55103100,8.07508300,0.90000000,11.69509000,21.09999000,181.05020000,1,0,0,0,
	0.55489740,8.07508300,0.90000000,11.69509000,21.09999000,181.05020000,1,0,0,0,
	0.55782230,8.07508300,0.90000000,11.69509000,21.09999000,181.05020000,1,0,0,0,
	0.56097800,8.07508300,0.90000000,11.69509000,21.09999000,181.05020000,1,0,0,0,
	0.56510370,8.07200100,0.90000000,11.54112000,21.09999000,181.05020000,1,0,0,0,
	0.56905370,8.07200100,0.90000000,11.54112000,21.14999000,181.05020000,1,0,0,0,
	0.57177110,8.07200100,0.90000000,11.54112000,21.14999000,181.05020000,1,0,0,0,
	0.57532840,8.07200100,0.90000000,11.54112000,21.14999000,181.05020000,1,0,0,0,
