map
	ez_square
end

values
	0.55322000,55.88863000,1.90000000,1.07824200,25.20000000,344.85000000,1,0,0,0,
	0.55776690,55.85932000,1.90000000,1.21122300,25.42500000,344.70000000,1,0,0,0,
	0.56296020,55.85932000,1.90000000,1.21122300,25.57500000,344.55000000,1,0,0,0,
	0.56694400,55.85932000,1.90000000,1.21122300,25.80000000,344.40000000,1,0,0,0,
	0.57287310,55.85932000,1.90000000,1.21122300,25.95000000,344.32500000,1,0,0,0,
	0.57787690,55.82717000,1.90000000,1.35159400,26.17500000,344.10000000,1,0,0,0,
	0.58274560,55.82717000,1.90000000,1.35159400,26.40000000,343.95000000,1,0,0,0,
	0.58659350,55.82717000,1.90000000,1.35159400,26.55000000,343.80000000,1,0,0,0,
	0.59160880,55.82717000,1.90000000,1.35159400,26.62500000,343.65000000,1,0,0,0,
	0.59686410,55.79220000,1.90000000,1.49897200,26.85000000,343.42500000,1,0,0,0,
	0.60353080,55.79220000,1.90000000,1.49897200,27.07500000,343.27500000,1,0,0,0,
	0.60775820,55.79220000,1.90000000,1.49897200,27.30000000,343.05000000,1,0,0,0,
	0.61200850,55.79220000,1.90000000,1.49897200,27.45000000,342.90000000,1,0,0,0,
	0.61700880,55.75557000,1.90000000,1.64886300,27.60000000,342.67500000,1,0,0,0,
	0.62227980,55.75557000,1.90000000,1.64886300,27.75000000,342.52500000,1,0,0,0,
	0.62659790,55.75557000,1.90000000,1.64886300,27.97500000,342.30000000,1,0,0,0,
	0.63015710,55.75557000,1.90000000,1.64886300,28.12500000,342.07500000,1,0,0,0,
	0.63610870,55.71894000,2.01060000,1.79875400,28.20000000,341.92500000,1,0,0,0,
	0.64121280,55.71894000,2.01060000,1.79875400,28.50000000,341.55000000,1,0,0,0,
	0.64609330,55.71894000,2.01060000,1.79875400,28.65000000,341.32500000,1,0,0,0,
	0.65007540,55.71894000,2.01060000,1.79875400,28.80000000,341.10000000,1,0,0,0,
	0.65523850,55.71894000,2.01060000,1.79875400,28.87500000,340.95000000,1,0,0,0,
	0.65971360,55.68230000,2.11480000,1.94864600,28.95000000,340.65000000,1,0,0,0,
	0.66880380,55.68230000,2.11480000,1.94864600,29.10000000,340.50000000,1,0,0,0,
	0.67747720,55.64567000,2.21260000,2.09853700,29.17500000,340.20000000,1,0,0,0,
	0.68539700,55.64567000,2.21260000,2.09853700,29.32500000,339.90000000,1,0,0,0,
	0.69037320,55.64567000,2.21260000,2.09853700,29.40001000,339.75000000,1,0,0,0,
	0.69610310,55.60904000,2.30400000,2.24842900,29.40001000,339.75000000,1,0,0,0,
	0.70648210,55.60904000,2.30400000,2.24842900,29.47500000,339.75000000,1,0,1,0,
	0.71637310,55.57241000,2.38900000,2.39832000,29.47500000,339.75000000,1,0,1,0,
	0.72379470,55.57241000,2.38900000,2.39832000,29.47500000,339.75000000,1,0,1,0,
	0.73152580,55.57241000,2.38900000,2.39832000,29.55001000,339.97500000,1,0,1,0,
	0.74169400,55.53577000,2.46760000,2.54821100,29.62501000,340.42500000,1,0,1,0,
	0.75209710,55.53577000,2.46760000,2.54821100,29.70001000,341.32500000,0,0,1,0,
	0.75950370,55.50386000,2.53980000,2.69955500,29.77501000,342.90000000,0,0,1,0,
	0.76380440,55.50386000,2.53980000,2.69955500,29.85000000,344.10000000,0,0,1,0,
	0.76763400,55.50386000,2.53980000,2.69955500,29.85001000,344.85000000,0,0,1,0,
	0.77186310,55.50386000,2.53980000,2.69955500,29.85001000,345.67500000,0,0,1,0,
	0.77676330,55.48113000,2.60560000,2.85333800,29.85001000,346.42500000,0,0,1,0,
	0.78104010,55.48113000,2.60560000,2.85333800,29.85001000,347.55000000,0,0,1,0,
	0.78564510,55.48113000,2.60560000,2.85333800,29.85000000,348.30000000,0,0,1,0,
	0.78951250,55.48113000,2.60560000,2.85333800,29.85001000,349.50000000,0,0,1,0,
	0.79489240,55.48113000,2.60560000,2.85333800,29.85001000,350.47500000,0,0,1,0,
	0.79875450,55.47240000,2.66500000,3.00969200,29.85001000,351.67500000,0,0,1,0,
	0.80373720,55.47240000,2.66500000,3.00969200,29.85001000,352.57500000,0,0,1,0,
	0.80894110,55.47240000,2.66500000,3.00969200,29.77501000,353.77500000,0,0,1,0,
	0.81308500,55.47240000,2.66500000,3.00969200,29.70001000,355.05000000,0,0,1,0,
	0.81810220,55.47528000,2.71800000,3.16719200,29.62501000,355.95000000,0,0,1,0,
	0.82272700,55.47528000,2.71800000,3.16719200,29.55001000,357.22500000,0,0,1,0,
	0.82860650,55.47528000,2.71800000,3.16719200,29.40001000,358.20000000,0,0,1,1,
	0.83456610,55.47528000,2.71800000,3.16719200,29.32501000,359.77500000,0,0,1,1,
	0.84053060,55.48433000,2.76460000,3.32494600,29.17500000,0.97501530,0,0,0,1,
	0.84588970,55.48433000,2.76460000,3.32494600,29.10000000,2.40001600,0,0,0,1,
	0.84984190,55.48433000,2.76460000,3.32494600,29.02501000,3.45001500,0,0,0,1,
	0.85383890,55.48433000,2.76460000,3.32494600,28.95000000,4.35001500,0,0,0,1,
	0.85767750,55.47985000,2.80480000,3.48329700,28.87500000,4.95001500,0,0,0,1,
	0.86178340,55.47985000,2.80480000,3.48329700,28.80000000,5.77501500,0,0,0,1,
	0.86671820,55.47985000,2.80480000,3.48329700,28.80000000,6.52501500,0,0,0,1,
	0.87188210,55.47985000,2.80480000,3.48329700,28.72500000,7.35001500,0,0,0,1,
	0.87579980,55.47538000,2.83860000,3.64164700,28.72500000,8.02501600,0,0,0,1,
	0.87992470,55.47538000,2.83860000,3.64164700,28.72500000,8.47501700,0,0,0,1,
	0.88626850,55.47538000,2.83860000,3.64164700,28.65000000,9.00001500,0,0,0,1,
	0.89011110,55.47538000,2.83860000,3.64164700,28.65000000,9.60001500,0,0,0,1,
	0.89413760,55.47538000,2.83860000,3.64164700,28.65000000,9.82501500,0,0,0,1,
	0.89775570,55.47090000,2.86600000,3.79999800,28.65000000,10.05001000,0,0,0,1,
	0.90178410,55.47090000,2.86600000,3.79999800,28.65000000,10.20001000,0,0,0,1,
	0.90508140,55.47090000,2.86600000,3.79999800,28.65000000,10.27501000,0,0,0,1,
	0.90760100,55.47090000,2.86600000,3.79999800,28.65000000,10.27501000,0,0,0,1,
	0.91042400,55.47090000,2.86600000,3.79999800,28.65000000,10.27501000,0,0,0,1,
	0.91316550,55.47090000,2.86600000,3.79999800,28.65000000,10.27501000,0,0,0,1,
	0.91600270,55.46642000,2.88700000,3.95834800,28.65000000,10.27501000,0,0,0,1,
	0.91944930,55.46642000,2.88700000,3.95834800,28.65000000,10.27501000,0,0,0,1,
	0.92210780,55.46642000,2.88700000,3.95834800,28.65000000,10.27501000,0,0,0,1,
	0.92575900,55.46642000,2.88700000,3.95834800,28.65000000,10.27501000,0,0,0,1,
